"Species","Year","Region","Biomass"
"sockeye",1992,"NBC",20303
"sockeye",1993,"NBC",17697
"sockeye",1994,"NBC",9702
"sockeye",1995,"NBC",15090
"sockeye",1996,"NBC",21067
"sockeye",1997,"NBC",12025
"sockeye",1998,"NBC",4983
"sockeye",1999,"NBC",4766
"sockeye",2000,"NBC",13575
"sockeye",2001,"NBC",13439
"sockeye",2002,"NBC",8903
"sockeye",2003,"NBC",9960
"sockeye",2004,"NBC",7105
"sockeye",2005,"NBC",5298
"sockeye",2006,"NBC",9390
"sockeye",2007,"NBC",6960
"sockeye",2008,"NBC",6901
"sockeye",2009,"NBC",4863
"sockeye",2010,"NBC",4780
"sockeye",2011,"NBC",9268
"sockeye",2012,"NBC",8681
"sockeye",2013,"NBC",4055
"sockeye",2014,"NBC",10017
"sockeye",2015,"NBC",3585
"sockeye",1952,"SBC",11496
"sockeye",1953,"SBC",23711
"sockeye",1954,"SBC",53172
"sockeye",1955,"SBC",17488
"sockeye",1956,"SBC",17788
"sockeye",1957,"SBC",14089
"sockeye",1958,"SBC",56586
"sockeye",1959,"SBC",25523
"sockeye",1960,"SBC",20080
"sockeye",1961,"SBC",23246
"sockeye",1962,"SBC",16723
"sockeye",1963,"SBC",15287
"sockeye",1964,"SBC",10694
"sockeye",1965,"SBC",10973
"sockeye",1966,"SBC",21201
"sockeye",1967,"SBC",20909
"sockeye",1968,"SBC",28417
"sockeye",1969,"SBC",15578
"sockeye",1970,"SBC",25819
"sockeye",1971,"SBC",77311
"sockeye",1972,"SBC",20051
"sockeye",1973,"SBC",25912
"sockeye",1974,"SBC",36184
"sockeye",1975,"SBC",10578
"sockeye",1976,"SBC",12888
"sockeye",1977,"SBC",25544
"sockeye",1978,"SBC",33397
"sockeye",1979,"SBC",25567
"sockeye",1980,"SBC",12616
"sockeye",1981,"SBC",30586
"sockeye",1982,"SBC",52166
"sockeye",1983,"SBC",24588
"sockeye",1984,"SBC",21860
"sockeye",1985,"SBC",39563
"sockeye",1986,"SBC",49027
"sockeye",1987,"SBC",25213
"sockeye",1988,"SBC",13224
"sockeye",1989,"SBC",47097
"sockeye",1990,"SBC",59067
"sockeye",1991,"SBC",34787
"sockeye",1992,"SBC",22105
